Pollutant,Site,Hour,NIsize,simTr,N,RMSE,MAE,MAPE,IA
PM10,Warsaw,1,45,0.010000,1,12.8108,9.39357,38.1455,0.747695
PM10,Warsaw,1,45,0.010000,50,11.2276,8.04942,32.9444,0.777405
PM10,Warsaw,1,45,0.013000,1,12.7984,9.35401,37.982,0.747864
PM10,Warsaw,1,45,0.013000,50,11.053,8.03635,33.262,0.784045
PM10,Warsaw,1,45,0.014000,1,12.7984,9.35401,37.982,0.747864
PM10,Warsaw,1,45,0.014000,50,11.1707,7.99743,32.8605,0.777787
PM10,Warsaw,1,45,0.015000,1,12.7984,9.35401,37.982,0.747864
PM10,Warsaw,1,45,0.015000,50,11.1353,8.04416,33.4349,0.782015
PM10,Warsaw,1,45,0.016000,1,12.7984,9.35401,37.982,0.747864
PM10,Warsaw,1,45,0.016000,50,10.9599,7.87603,32.5415,0.791591
PM10,Warsaw,1,45,0.017000,1,12.7984,9.35401,37.982,0.747864
PM10,Warsaw,1,45,0.017000,50,11.1965,8.00133,32.9463,0.779725
PM10,Warsaw,1,45,0.018000,1,12.7984,9.35401,37.982,0.747864
PM10,Warsaw,1,45,0.018000,50,11.1773,8.05899,33.2901,0.781903
PM10,Warsaw,1,45,0.019000,1,12.7984,9.35401,37.982,0.747864
PM10,Warsaw,1,45,0.019000,50,10.9679,7.97016,32.9543,0.791342
PM10,Warsaw,1,45,0.020000,1,12.7959,9.35211,37.9759,0.747927
PM10,Warsaw,1,45,0.020000,50,11.2107,8.13092,33.3752,0.781552
PM10,Warsaw,1,45,0.021000,1,12.8351,9.40713,38.3286,0.747422
PM10,Warsaw,1,45,0.021000,50,11.0583,7.9395,32.8357,0.784551
PM10,Warsaw,1,45,0.022000,1,12.8351,9.40713,38.3286,0.747422
PM10,Warsaw,1,45,0.022000,50,10.9833,7.82961,32.3155,0.788139
PM10,Warsaw,1,45,0.023000,1,12.7823,9.37042,38.1618,0.748975
PM10,Warsaw,1,45,0.023000,50,11.1584,8.03564,33.0567,0.781163
PM10,Warsaw,1,45,0.024000,1,12.7999,9.3984,38.2865,0.748437
PM10,Warsaw,1,45,0.024000,50,11.2186,8.01868,32.8537,0.773969
PM10,Warsaw,1,45,0.025000,1,12.7999,9.3984,38.2865,0.748437
PM10,Warsaw,1,45,0.025000,50,11.0003,7.91967,33.0239,0.788869
PM10,Warsaw,1,45,0.025000,1,12.7999,9.3984,38.2865,0.748437
PM10,Warsaw,1,45,0.025000,50,10.9726,7.95304,32.82,0.787174
PM10,Warsaw,1,50,0.010000,1,12.9437,9.44199,38.2255,0.736884
PM10,Warsaw,1,50,0.010000,50,10.9496,7.97296,33.193,0.79205
PM10,Warsaw,1,50,0.013000,1,12.9437,9.44199,38.2255,0.736884
PM10,Warsaw,1,50,0.013000,50,11.0464,7.95822,33.216,0.784811
PM10,Warsaw,1,50,0.014000,1,12.9437,9.44199,38.2255,0.736884
PM10,Warsaw,1,50,0.014000,50,10.9928,7.89326,32.9789,0.785763
PM10,Warsaw,1,50,0.015000,1,12.9437,9.44199,38.2255,0.736884
PM10,Warsaw,1,50,0.015000,50,11.0456,7.92828,32.8345,0.786296
PM10,Warsaw,1,50,0.016000,1,12.9437,9.44199,38.2255,0.736884
PM10,Warsaw,1,50,0.016000,50,11.1445,8.08616,33.5474,0.780883
PM10,Warsaw,1,50,0.017000,1,12.9462,9.4438,38.2313,0.736822
PM10,Warsaw,1,50,0.017000,50,11.0178,8.01595,33.5119,0.789052
PM10,Warsaw,1,50,0.018000,1,12.9462,9.4438,38.2313,0.736822
PM10,Warsaw,1,50,0.018000,50,11.0508,8.00404,33.3776,0.788053
PM10,Warsaw,1,50,0.019000,1,12.9462,9.4438,38.2313,0.736822
PM10,Warsaw,1,50,0.019000,50,10.984,8.01658,33.2039,0.789041
PM10,Warsaw,1,50,0.020000,1,12.9462,9.4438,38.2313,0.736822
PM10,Warsaw,1,50,0.020000,50,11.1061,8.03992,33.75,0.783723
PM10,Warsaw,1,50,0.021000,1,12.9585,9.45045,38.1756,0.736883
PM10,Warsaw,1,50,0.021000,50,10.9157,8.00948,33.2601,0.794065
PM10,Warsaw,1,50,0.022000,1,12.9572,9.44768,38.1557,0.737703
PM10,Warsaw,1,50,0.022000,50,11.0844,8.05131,33.3823,0.786488
PM10,Warsaw,1,50,0.023000,1,12.9835,9.47213,38.2173,0.737404
PM10,Warsaw,1,50,0.023000,50,11.0793,8.01054,33.2582,0.784867
PM10,Warsaw,1,50,0.024000,1,12.9835,9.47213,38.2173,0.737404
PM10,Warsaw,1,50,0.024000,50,11.0587,8.01762,33.3067,0.787656
PM10,Warsaw,1,50,0.025000,1,12.9835,9.47213,38.2173,0.737404
PM10,Warsaw,1,50,0.025000,50,11.011,8.0168,33.3736,0.79084
PM10,Warsaw,1,50,0.025000,1,12.9835,9.47213,38.2173,0.737404
PM10,Warsaw,1,50,0.025000,50,11.0736,8.05308,33.4299,0.787386
PM10,Warsaw,1,55,0.010000,1,13.3685,9.66139,40.3895,0.723988
PM10,Warsaw,1,55,0.010000,50,11.2843,8.07221,33.5559,0.777099
PM10,Warsaw,1,55,0.013000,1,13.3683,9.66139,40.3892,0.723999
PM10,Warsaw,1,55,0.013000,50,11.2153,8.02636,33.3929,0.778883
PM10,Warsaw,1,55,0.014000,1,13.3683,9.66139,40.3892,0.723999
PM10,Warsaw,1,55,0.014000,50,11.2328,7.98443,33.0198,0.774338
PM10,Warsaw,1,55,0.015000,1,13.3683,9.66139,40.3892,0.723999
PM10,Warsaw,1,55,0.015000,50,11.3386,8.1371,33.8719,0.771955
PM10,Warsaw,1,55,0.016000,1,13.3707,9.6632,40.395,0.723939
PM10,Warsaw,1,55,0.016000,50,11.148,7.96172,33.1216,0.780856
PM10,Warsaw,1,55,0.017000,1,13.3707,9.6632,40.395,0.723939
PM10,Warsaw,1,55,0.017000,50,11.2896,8.04132,33.4965,0.772916
PM10,Warsaw,1,55,0.018000,1,13.3707,9.6632,40.395,0.723939
PM10,Warsaw,1,55,0.018000,50,11.3859,8.12358,33.659,0.770311
PM10,Warsaw,1,55,0.019000,1,13.3053,9.60559,39.3783,0.727386
PM10,Warsaw,1,55,0.019000,50,11.2688,8.05022,33.1866,0.775596
PM10,Warsaw,1,55,0.020000,1,13.3053,9.60559,39.3783,0.727386
PM10,Warsaw,1,55,0.020000,50,11.0739,8.01794,33.3204,0.786154
PM10,Warsaw,1,55,0.021000,1,13.3053,9.60559,39.3783,0.727386
PM10,Warsaw,1,55,0.021000,50,11.2419,8.02997,33.3567,0.774793
PM10,Warsaw,1,55,0.022000,1,13.3053,9.60559,39.3783,0.727386
PM10,Warsaw,1,55,0.022000,50,11.3066,8.06508,33.208,0.776711
PM10,Warsaw,1,55,0.023000,1,13.3369,9.63578,39.499,0.726978
PM10,Warsaw,1,55,0.023000,50,11.1512,7.95923,32.8633,0.780647
PM10,Warsaw,1,55,0.024000,1,13.3369,9.63578,39.499,0.726978
PM10,Warsaw,1,55,0.024000,50,11.1341,7.91974,32.6679,0.783017
PM10,Warsaw,1,55,0.025000,1,13.3369,9.63578,39.499,0.726978
PM10,Warsaw,1,55,0.025000,50,11.1211,7.90857,32.8263,0.783862
PM10,Warsaw,1,55,0.025000,1,13.3369,9.63578,39.499,0.726978
PM10,Warsaw,1,55,0.025000,50,11.1467,7.98228,33.2109,0.781434
PM10,Warsaw,1,60,0.010000,1,13.2573,9.56235,37.2954,0.702161
PM10,Warsaw,1,60,0.010000,50,11.1847,8.07722,32.9973,0.778369
PM10,Warsaw,1,60,0.013000,1,13.2573,9.56235,37.2954,0.702161
PM10,Warsaw,1,60,0.013000,50,11.1512,8.05898,32.9531,0.776997
PM10,Warsaw,1,60,0.014000,1,13.2573,9.56235,37.2954,0.702161
PM10,Warsaw,1,60,0.014000,50,11.3959,8.18531,33.1298,0.765254
PM10,Warsaw,1,60,0.015000,1,13.0908,9.44975,37.0932,0.719316
PM10,Warsaw,1,60,0.015000,50,11.3424,8.20801,33.6256,0.769054
PM10,Warsaw,1,60,0.016000,1,13.0908,9.44975,37.0932,0.719316
PM10,Warsaw,1,60,0.016000,50,11.2653,8.15223,33.5033,0.773672
PM10,Warsaw,1,60,0.017000,1,13.0908,9.44975,37.0932,0.719316
PM10,Warsaw,1,60,0.017000,50,11.0985,8.03075,32.9026,0.780148
PM10,Warsaw,1,60,0.018000,1,13.0908,9.44975,37.0932,0.719316
PM10,Warsaw,1,60,0.018000,50,11.2289,8.08299,32.9839,0.774572
PM10,Warsaw,1,60,0.019000,1,13.0908,9.44975,37.0932,0.719316
PM10,Warsaw,1,60,0.019000,50,11.179,8.07199,32.769,0.779509
PM10,Warsaw,1,60,0.020000,1,13.1227,9.47831,37.1653,0.717005
PM10,Warsaw,1,60,0.020000,50,11.2331,8.14707,33.3343,0.776071
PM10,Warsaw,1,60,0.021000,1,13.1092,9.47262,37.1674,0.720201
PM10,Warsaw,1,60,0.021000,50,11.1453,8.06278,32.9157,0.777768
PM10,Warsaw,1,60,0.022000,1,13.1021,9.4578,37.0507,0.72066
PM10,Warsaw,1,60,0.022000,50,11.3163,8.21149,33.6254,0.773815
PM10,Warsaw,1,60,0.023000,1,13.0344,9.37359,36.7128,0.726423
PM10,Warsaw,1,60,0.023000,50,11.1115,8.06416,33.0176,0.781982
PM10,Warsaw,1,60,0.024000,1,13.0166,9.34145,36.6035,0.72697
PM10,Warsaw,1,60,0.024000,50,11.0566,8.02321,32.8222,0.785413
