Pollutant,Site,Hour,NIsize,simTr,N,RMSE,MAE,MAPE,IA
PM10,Warsaw,1,5,0.020000,1,23.4915,19.1495,95.0016,0.41342
PM10,Warsaw,1,5,0.020000,5,22.4243,18.2803,90.9354,0.416776
PM10,Warsaw,1,5,0.020000,10,22.5842,18.659,93.0857,0.436318
PM10,Warsaw,1,5,0.020000,15,22.3722,18.3329,91.2595,0.42305
PM10,Warsaw,1,5,0.020000,20,22.4085,18.4418,91.8218,0.42939
PM10,Warsaw,1,5,0.020000,25,22.2868,18.3268,91.2854,0.429996
PM10,Warsaw,1,5,0.020000,30,22.3881,18.3841,91.6511,0.425335
PM10,Warsaw,1,5,0.020000,35,22.2659,18.2866,91.0982,0.429517
PM10,Warsaw,1,5,0.020000,40,22.3377,18.4173,91.7473,0.434105
PM10,Warsaw,1,5,0.020000,45,22.2913,18.2938,91.0548,0.425118
PM10,Warsaw,1,5,0.020000,50,22.3826,18.3643,91.4858,0.423081
PM10,Warsaw,1,5,0.020000,55,22.3715,18.365,91.4741,0.423879
PM10,Warsaw,1,5,0.020000,60,22.327,18.386,91.6648,0.433638
PM10,Warsaw,1,10,0.020000,1,19.9716,13.7118,57.6853,0.270913
PM10,Warsaw,1,10,0.020000,5,18.6798,12.4245,48.781,0.270362
PM10,Warsaw,1,10,0.020000,10,18.9647,12.483,49.0481,0.19921
PM10,Warsaw,1,10,0.020000,15,18.5325,12.4042,49.5249,0.268908
PM10,Warsaw,1,10,0.020000,20,18.5623,12.4094,49.5675,0.247739
PM10,Warsaw,1,10,0.020000,25,18.8944,12.4565,49.0184,0.213451
PM10,Warsaw,1,10,0.020000,30,18.7083,12.4056,48.7445,0.23698
PM10,Warsaw,1,10,0.020000,35,18.6052,12.3531,48.7609,0.256788
PM10,Warsaw,1,10,0.020000,40,18.6361,12.3771,48.8604,0.239947
PM10,Warsaw,1,10,0.020000,45,18.7292,12.3549,48.2464,0.250506
PM10,Warsaw,1,10,0.020000,50,18.6875,12.3952,48.9414,0.234191
PM10,Warsaw,1,10,0.020000,55,18.6825,12.3839,48.8474,0.241034
PM10,Warsaw,1,10,0.020000,60,18.7435,12.4682,49.6588,0.222414
PM10,Warsaw,1,15,0.020000,1,25.0563,13.6574,46.4335,0.468383
PM10,Warsaw,1,15,0.020000,5,21.365,12.7211,42.7846,0.523724
PM10,Warsaw,1,15,0.020000,10,20.7455,12.5145,43.6665,0.519984
PM10,Warsaw,1,15,0.020000,15,20.0857,12.4844,42.6275,0.52921
PM10,Warsaw,1,15,0.020000,20,19.9769,12.3641,42.3962,0.524723
PM10,Warsaw,1,15,0.020000,25,20.1872,12.3936,42.8935,0.528087
PM10,Warsaw,1,15,0.020000,30,20.1549,12.3993,42.937,0.521679
PM10,Warsaw,1,15,0.020000,35,19.9852,12.3887,42.4756,0.531383
PM10,Warsaw,1,15,0.020000,40,20.3584,12.4512,42.6533,0.527728
PM10,Warsaw,1,15,0.020000,45,20.2263,12.391,42.4493,0.537576
PM10,Warsaw,1,15,0.020000,50,20.1493,12.3961,42.4156,0.525765
PM10,Warsaw,1,15,0.020000,55,20.8278,12.5301,43.022,0.518276
PM10,Warsaw,1,15,0.020000,60,20.1973,12.4102,42.2978,0.530319
PM10,Warsaw,1,20,0.020000,1,25.5881,14.848,50.6637,0.61166
PM10,Warsaw,1,20,0.020000,5,17.42,11.8817,43.0288,0.641441
PM10,Warsaw,1,20,0.020000,10,18.5514,12.1238,43.6087,0.658904
PM10,Warsaw,1,20,0.020000,15,18.3278,11.8583,42.2939,0.668953
PM10,Warsaw,1,20,0.020000,20,18.1343,11.7984,42.2315,0.659049
PM10,Warsaw,1,20,0.020000,25,18.6824,11.8618,41.7464,0.664626
PM10,Warsaw,1,20,0.020000,30,18.7114,11.8461,41.7641,0.667784
PM10,Warsaw,1,20,0.020000,35,17.9549,11.7376,41.37,0.680836
PM10,Warsaw,1,20,0.020000,40,18.6865,11.9548,42.308,0.649257
PM10,Warsaw,1,20,0.020000,45,18.3958,11.8608,42.2588,0.667069
PM10,Warsaw,1,20,0.020000,50,17.8969,11.7947,41.9288,0.671068
PM10,Warsaw,1,20,0.020000,55,17.8159,11.6961,41.8572,0.66836
PM10,Warsaw,1,20,0.020000,60,17.7992,11.7211,41.7012,0.67003
PM10,Warsaw,1,25,0.020000,1,20.8369,13.2247,46.0787,0.610749
PM10,Warsaw,1,25,0.020000,5,18.5434,11.7415,41.6981,0.683992
PM10,Warsaw,1,25,0.020000,10,18.9596,11.7751,42.7653,0.681194
PM10,Warsaw,1,25,0.020000,15,18.7553,11.5424,41.3797,0.694711
PM10,Warsaw,1,25,0.020000,20,18.3709,11.6352,41.8972,0.693594
PM10,Warsaw,1,25,0.020000,25,16.7716,11.3466,41.1439,0.713579
