Pollutant,Site,Hour,NIsize,simTr,N,RMSE,MAE,MAPE,IA
PM10,Warsaw,1,5,0.020000,1,14.6336,9.52114,37.3903,0.249405
PM10,Warsaw,1,5,0.020000,5,14.9283,9.75591,38.1983,0.233158
PM10,Warsaw,1,5,0.020000,10,15.117,9.84212,37.8313,0.247778
PM10,Warsaw,1,5,0.020000,15,14.9027,9.68505,37.4301,0.253998
PM10,Warsaw,1,5,0.020000,20,15.0962,9.8338,37.9002,0.245293
PM10,Warsaw,1,5,0.020000,25,15.0133,9.77706,37.8143,0.245594
PM10,Warsaw,1,5,0.020000,30,15.0035,9.78834,38.0431,0.239126
PM10,Warsaw,1,5,0.020000,35,14.9895,9.76393,37.8226,0.244902
PM10,Warsaw,1,5,0.020000,40,14.9035,9.7291,38.0281,0.237431
PM10,Warsaw,1,5,0.020000,50,14.9089,9.73042,38.0025,0.23827
PM10,Warsaw,1,5,0.020000,55,15.0298,9.81096,38.1449,0.236854
PM10,Warsaw,1,5,0.020000,60,14.9826,9.76566,37.9001,0.242634
PM10,Warsaw,1,10,0.020000,1,15.4265,10.5335,34.504,0.563361
PM10,Warsaw,1,10,0.020000,5,16.2064,11.31,35.2533,0.553017
PM10,Warsaw,1,10,0.020000,10,15.5188,10.4765,34.6205,0.515834
PM10,Warsaw,1,10,0.020000,15,16.4463,11.2923,35.2982,0.537557
PM10,Warsaw,1,10,0.020000,20,15.2408,10.3681,34.704,0.542223
PM10,Warsaw,1,10,0.020000,25,15.8806,10.8544,34.8192,0.542499
PM10,Warsaw,1,10,0.020000,30,15.9332,10.9036,34.7823,0.542494
PM10,Warsaw,1,10,0.020000,35,15.473,10.5792,34.4596,0.550736
PM10,Warsaw,1,10,0.020000,40,14.8451,10.1413,34.7431,0.540943
PM10,Warsaw,1,10,0.020000,50,15.6319,10.5806,34.5852,0.524914
PM10,Warsaw,1,10,0.020000,55,15.6996,10.7122,34.5314,0.543602
PM10,Warsaw,1,10,0.020000,60,15.362,10.4383,34.8355,0.53795
PM10,Warsaw,1,15,0.020000,1,17.3082,14.134,47.9664,0.698227
PM10,Warsaw,1,15,0.020000,5,17.3259,14.1975,48.0057,0.702906
PM10,Warsaw,1,15,0.020000,10,15.7177,12.7082,42.6956,0.735256
PM10,Warsaw,1,15,0.020000,15,16.0374,13.0176,43.8345,0.729038
PM10,Warsaw,1,15,0.020000,20,15.2643,12.1979,40.7682,0.743957
PM10,Warsaw,1,15,0.020000,25,16.1396,13.1148,44.146,0.72502
PM10,Warsaw,1,15,0.020000,30,16.4852,13.4695,45.361,0.718375
PM10,Warsaw,1,15,0.020000,35,16.101,13.1053,44.2539,0.732404
PM10,Warsaw,1,15,0.020000,40,15.5465,12.4533,41.7431,0.735416
PM10,Warsaw,1,15,0.020000,50,16.0068,12.9985,43.8089,0.729641
PM10,Warsaw,1,15,0.020000,55,16.2399,13.2219,44.5388,0.726615
PM10,Warsaw,1,15,0.020000,60,15.7388,12.7,42.6466,0.73443
PM10,Warsaw,1,20,0.020000,1,11.0315,8.20447,31.17,0.861446
PM10,Warsaw,1,20,0.020000,5,9.84886,7.60489,29.5065,0.883006
PM10,Warsaw,1,20,0.020000,10,10.0111,7.65122,29.5506,0.881922
PM10,Warsaw,1,20,0.020000,15,10.2212,7.74653,30.0872,0.872844
PM10,Warsaw,1,20,0.020000,20,10.1464,7.75673,29.9092,0.877293
PM10,Warsaw,1,20,0.020000,25,10.1453,7.81365,29.9589,0.881964
PM10,Warsaw,1,20,0.020000,30,10.1234,7.78973,29.8716,0.880062
PM10,Warsaw,1,20,0.020000,35,9.92449,7.64007,29.6533,0.884038
PM10,Warsaw,1,20,0.020000,40,10.0155,7.69322,29.6933,0.878574
PM10,Warsaw,1,20,0.020000,50,10.197,7.81751,29.9776,0.877422
PM10,Warsaw,1,20,0.020000,55,9.97255,7.67884,29.5004,0.87976
PM10,Warsaw,1,20,0.020000,60,10.1304,7.80509,29.8264,0.87658
PM10,Warsaw,1,25,0.020000,1,10.4062,7.87508,30.0368,0.875732
PM10,Warsaw,1,25,0.020000,5,10.5089,8.17113,31.7133,0.87763
PM10,Warsaw,1,25,0.020000,10,10.2112,7.969,30.5045,0.883818
PM10,Warsaw,1,25,0.020000,15,10.272,8.19825,31.803,0.885804
PM10,Warsaw,1,25,0.020000,20,10.5394,8.40149,32.4568,0.880395
PM10,Warsaw,1,25,0.020000,25,10.1449,7.97123,30.9204,0.886694
PM10,Warsaw,1,25,0.020000,30,10.219,8.0494,30.9503,0.883324
PM10,Warsaw,1,25,0.020000,35,10.0995,7.96039,30.7396,0.887165
PM10,Warsaw,1,25,0.020000,40,10.1656,7.9918,30.8551,0.886108
PM10,Warsaw,1,25,0.020000,50,10.2291,8.11723,31.2085,0.884224
PM10,Warsaw,1,25,0.020000,55,10.206,8.04713,31.1241,0.885718
PM10,Warsaw,1,25,0.020000,60,10.2214,8.02028,30.8502,0.88437
PM10,Warsaw,1,30,0.020000,1,12.2349,10.1972,41.9766,0.857668
PM10,Warsaw,1,30,0.020000,5,9.61449,7.49916,29.4225,0.899729
PM10,Warsaw,1,30,0.020000,10,8.8089,6.66735,26.4485,0.914244
PM10,Warsaw,1,30,0.020000,15,9.20051,7.05973,27.6943,0.906771
PM10,Warsaw,1,30,0.020000,20,9.07482,6.91414,27.2962,0.909573
PM10,Warsaw,1,30,0.020000,25,8.9171,6.74923,26.3791,0.910483
PM10,Warsaw,1,30,0.020000,30,9.03703,6.88972,27.018,0.910045
PM10,Warsaw,1,30,0.020000,35,9.26224,7.15619,28.2607,0.908
PM10,Warsaw,1,30,0.020000,40,9.66782,7.58852,30.1364,0.900265
PM10,Warsaw,1,30,0.020000,50,9.05258,6.92401,27.2365,0.910583
PM10,Warsaw,1,30,0.020000,55,9.51289,7.42632,29.2387,0.902172
PM10,Warsaw,1,30,0.020000,60,9.20444,7.07543,27.8509,0.907428
PM10,Warsaw,1,35,0.020000,1,10.2673,7.19637,30.0601,0.874737
PM10,Warsaw,1,35,0.020000,5,8.49906,6.20381,26.4108,0.917651
PM10,Warsaw,1,35,0.020000,10,8.29161,6.16098,26.2023,0.921004
PM10,Warsaw,1,35,0.020000,15,8.48767,6.19776,26.3368,0.914436
PM10,Warsaw,1,35,0.020000,20,8.50971,6.3206,26.675,0.916018
PM10,Warsaw,1,35,0.020000,25,8.32111,6.23675,26.6779,0.921137
PM10,Warsaw,1,35,0.020000,30,8.38164,6.13282,26.3169,0.920241
