Pollutant,Site,Hour,NIsize,simTr,N,RMSE,MAE,MAPE,IA
PM10,Warsaw,1,45,0.010000,1,10.7921,7.45273,30.0107,0.861764
PM10,Warsaw,1,45,0.010000,5,9.146,6.83639,28.5698,0.903374
PM10,Warsaw,1,45,0.010000,10,8.86406,6.40918,25.859,0.907176
PM10,Warsaw,1,45,0.010000,15,8.70251,6.33082,25.7632,0.908518
PM10,Warsaw,1,45,0.010000,20,8.52449,6.20672,25.3875,0.912915
PM10,Warsaw,1,45,0.010000,25,8.51768,6.11363,24.8557,0.913374
PM10,Warsaw,1,45,0.010000,30,8.59912,6.20203,25.3349,0.911741
PM10,Warsaw,1,45,0.010000,35,8.49537,6.15982,25.5474,0.913671
PM10,Warsaw,1,45,0.010000,40,8.67094,6.23719,25.7967,0.909316
PM10,Warsaw,1,45,0.010000,50,8.3032,6.03283,24.8192,0.917541
PM10,Warsaw,1,45,0.010000,60,8.2829,5.96177,24.5018,0.916577
PM10,Warsaw,1,45,0.010000,100,8.3937,6.07831,24.9174,0.915204
PM10,Warsaw,1,45,0.013000,1,10.6441,7.44499,29.6678,0.868363
PM10,Warsaw,1,45,0.013000,5,8.59726,6.32055,25.9113,0.909082
PM10,Warsaw,1,45,0.013000,10,8.53305,6.09149,24.4953,0.909492
PM10,Warsaw,1,45,0.013000,15,8.62583,6.17226,24.8116,0.910383
PM10,Warsaw,1,45,0.013000,20,8.35475,6.04191,24.3008,0.914795
PM10,Warsaw,1,45,0.013000,25,8.81359,6.38405,25.6189,0.905013
PM10,Warsaw,1,45,0.013000,30,8.55765,6.08909,24.5717,0.910485
PM10,Warsaw,1,45,0.013000,35,8.56841,6.11232,24.5439,0.909627
PM10,Warsaw,1,45,0.013000,40,8.59033,6.2426,25.0574,0.911298
PM10,Warsaw,1,45,0.013000,50,8.49953,6.10617,24.6683,0.911577
PM10,Warsaw,1,45,0.013000,60,8.49265,6.13503,24.6813,0.912414
PM10,Warsaw,1,45,0.013000,100,8.52412,6.10771,24.7476,0.911412
PM10,Warsaw,1,45,0.014000,1,10.6609,7.45661,29.7905,0.86688
PM10,Warsaw,1,45,0.014000,5,9.05492,6.38223,25.0658,0.899547
PM10,Warsaw,1,45,0.014000,10,8.76955,6.47189,26.15,0.90763
PM10,Warsaw,1,45,0.014000,15,8.25738,5.92366,23.7757,0.916797
PM10,Warsaw,1,45,0.014000,20,8.93919,6.37353,25.4597,0.901772
PM10,Warsaw,1,45,0.014000,25,8.61564,6.16548,24.7732,0.910495
PM10,Warsaw,1,45,0.014000,30,8.53949,6.12912,24.4268,0.910942
PM10,Warsaw,1,45,0.014000,35,8.56856,6.06551,24.4435,0.908763
PM10,Warsaw,1,45,0.014000,40,8.42078,6.08971,24.7361,0.913109
PM10,Warsaw,1,45,0.014000,50,8.43366,6.0815,24.4367,0.912902
PM10,Warsaw,1,45,0.014000,60,8.6666,6.16957,24.8776,0.907551
PM10,Warsaw,1,45,0.014000,100,8.58623,6.15055,24.8722,0.909641
PM10,Warsaw,1,45,0.015000,1,10.1461,7.33221,29.3461,0.882759
PM10,Warsaw,1,45,0.015000,5,8.76315,6.47363,25.5698,0.910109
PM10,Warsaw,1,45,0.015000,10,8.54125,6.26122,25.0937,0.912402
PM10,Warsaw,1,45,0.015000,15,8.67236,6.2942,25.1997,0.906227
PM10,Warsaw,1,45,0.015000,20,8.48814,6.08124,24.1847,0.911268
PM10,Warsaw,1,45,0.015000,25,8.50738,6.09338,24.4925,0.910776
PM10,Warsaw,1,45,0.015000,30,8.56525,6.17081,24.8396,0.909882
PM10,Warsaw,1,45,0.015000,35,8.62859,6.23259,25.0734,0.909379
PM10,Warsaw,1,45,0.015000,40,8.46688,6.04068,24.2522,0.911761
PM10,Warsaw,1,45,0.015000,50,8.51922,6.16867,24.8273,0.91181
PM10,Warsaw,1,45,0.015000,60,8.68885,6.24361,25.0488,0.907529
PM10,Warsaw,1,45,0.015000,100,8.64418,6.21075,24.8793,0.907923
PM10,Warsaw,1,45,0.016000,1,9.22661,6.60468,27.0806,0.898498
PM10,Warsaw,1,45,0.016000,5,8.59473,5.97441,24.414,0.908372
PM10,Warsaw,1,45,0.016000,10,8.58012,6.07934,24.8819,0.908774
PM10,Warsaw,1,45,0.016000,15,8.4482,6.09516,24.529,0.910864
PM10,Warsaw,1,45,0.016000,20,8.16727,5.9138,24.0006,0.917647
PM10,Warsaw,1,45,0.016000,25,8.07345,5.89149,23.8027,0.921401
PM10,Warsaw,1,45,0.016000,30,8.42442,6.07207,24.5398,0.912725
PM10,Warsaw,1,45,0.016000,35,8.35914,5.94497,24.1514,0.911749
PM10,Warsaw,1,45,0.016000,40,8.15054,5.83784,23.7666,0.916904
PM10,Warsaw,1,45,0.016000,50,8.17954,5.87218,24.0042,0.917238
PM10,Warsaw,1,45,0.016000,60,8.26429,5.91868,24.0273,0.915197
PM10,Warsaw,1,45,0.016000,100,8.21499,5.97312,24.1607,0.91721
PM10,Warsaw,1,45,0.017000,1,10.0112,7.2839,29.3615,0.884065
PM10,Warsaw,1,45,0.017000,5,8.48213,6.04318,24.9254,0.912415
PM10,Warsaw,1,45,0.017000,10,8.5306,6.34951,25.6328,0.914771
PM10,Warsaw,1,45,0.017000,15,8.58137,6.17847,24.7203,0.908791
PM10,Warsaw,1,45,0.017000,20,8.27745,5.96452,24.1736,0.915262
PM10,Warsaw,1,45,0.017000,25,8.36284,6.0818,24.7455,0.914795
PM10,Warsaw,1,45,0.017000,30,8.37251,6.07618,24.5944,0.913475
PM10,Warsaw,1,45,0.017000,35,8.19311,5.89142,23.8967,0.916899
PM10,Warsaw,1,45,0.017000,40,8.35338,6.03673,24.4255,0.914222
PM10,Warsaw,1,45,0.017000,50,8.11468,5.87664,24.1202,0.918375
PM10,Warsaw,1,45,0.017000,60,8.35391,6.03054,24.3276,0.913687
PM10,Warsaw,1,45,0.017000,100,8.22652,5.97235,24.185,0.917003
