Pollutant,Site,Hour,NIsize,simTr,N,RMSE,MAE,MAPE,IA
PM10,Warsaw,1,45,0.010000,1,15.8362,11.3905,43.5944,0.575862
PM10,Warsaw,1,45,0.010000,50,13.5036,9.52492,37.1498,0.645067
PM10,Warsaw,1,45,0.013000,1,15.8837,11.4818,43.922,0.578102
PM10,Warsaw,1,45,0.013000,50,13.7091,9.65697,37.7119,0.638097
PM10,Warsaw,1,45,0.014000,1,15.8837,11.4818,43.922,0.578102
PM10,Warsaw,1,45,0.014000,50,13.5502,9.55453,37.4952,0.642904
PM10,Warsaw,1,45,0.015000,1,15.852,11.4763,44.0333,0.582296
PM10,Warsaw,1,45,0.015000,50,13.5901,9.6146,37.8962,0.646872
PM10,Warsaw,1,45,0.016000,1,15.9288,11.5398,44.414,0.57978
PM10,Warsaw,1,45,0.016000,50,13.6314,9.5463,37.3066,0.639836
PM10,Warsaw,1,45,0.017000,1,16.1673,11.64,45.1081,0.568354
PM10,Warsaw,1,45,0.017000,50,13.5738,9.65681,37.9073,0.649489
PM10,Warsaw,1,45,0.018000,1,15.9632,11.4497,43.9881,0.573295
PM10,Warsaw,1,45,0.018000,50,13.5145,9.54059,37.614,0.641918
PM10,Warsaw,1,45,0.019000,1,15.9673,11.4583,44.0294,0.573333
PM10,Warsaw,1,45,0.019000,50,13.7608,9.63559,37.5527,0.636375
PM10,Warsaw,1,45,0.020000,1,15.988,11.4633,44.1477,0.573852
PM10,Warsaw,1,45,0.020000,50,13.8059,9.7057,37.8676,0.635062
PM10,Warsaw,1,45,0.021000,1,16.035,11.4238,44.0018,0.569961
PM10,Warsaw,1,45,0.021000,50,13.3706,9.36051,36.7918,0.653347
PM10,Warsaw,1,45,0.022000,1,15.999,11.4344,44.2045,0.568581
PM10,Warsaw,1,45,0.022000,50,13.5851,9.58559,37.8378,0.643262
PM10,Warsaw,1,45,0.023000,1,16.211,11.6561,45.411,0.563991
