Pollutant,Site,Hour,N,RealValue,PredValue
PM10,Warsaw,1,1,34.6,82
PM10,Warsaw,1,1,43.9,23.6
PM10,Warsaw,1,1,23.5,21.3
PM10,Warsaw,1,1,29.7,15.6
PM10,Warsaw,1,1,31.2,15.6
PM10,Warsaw,1,1,33.1,47
PM10,Warsaw,1,1,29.8,9.4
PM10,Warsaw,1,1,33.8,36.8
PM10,Warsaw,1,1,61.6,36.8
PM10,Warsaw,1,1,41.6,59.1
PM10,Warsaw,1,1,23.9,29
PM10,Warsaw,1,1,37.4,19.2
PM10,Warsaw,1,1,33.1,7.4
PM10,Warsaw,1,1,14.9,36.8
PM10,Warsaw,1,1,11.7,36.8
PM10,Warsaw,1,1,8.7,17.8
PM10,Warsaw,1,1,8.2,17.8
PM10,Warsaw,1,1,16,17.8
PM10,Warsaw,1,1,32.8,21.9
PM10,Warsaw,1,1,13.9,15.6
PM10,Warsaw,1,1,12.6,20.7
PM10,Warsaw,1,1,9.4,14.2
PM10,Warsaw,1,1,22.8,17.7
PM10,Warsaw,1,1,33.3,47
PM10,Warsaw,1,1,33.2,15.6
PM10,Warsaw,1,1,21.1,7.4
PM10,Warsaw,1,1,24,23.6
PM10,Warsaw,1,1,21.9,23.6
PM10,Warsaw,1,1,22.1,17.8
PM10,Warsaw,1,1,29.1,15.6
PM10,Warsaw,1,1,40.8,19.2
PM10,Warsaw,1,1,29.1,22.4
PM10,Warsaw,1,1,15.8,11.3
PM10,Warsaw,1,1,23.9,14.2
PM10,Warsaw,1,1,34.7,7.4
PM10,Warsaw,1,1,39.8,21.3
PM10,Warsaw,1,1,39.9,21.3
PM10,Warsaw,1,1,92.4,33.4
PM10,Warsaw,1,1,58.1,40.7
PM10,Warsaw,1,1,11.2,29.6
PM10,Warsaw,1,1,11,18.7
PM10,Warsaw,1,1,20.2,40.1
PM10,Warsaw,1,1,25,30.6
PM10,Warsaw,1,1,27.4,14.7
PM10,Warsaw,1,1,28.2,11.6
PM10,Warsaw,1,1,40.1,19.2
PM10,Warsaw,1,1,53.6,36.8
PM10,Warsaw,1,1,17.4,7.4
PM10,Warsaw,1,1,18.7,8.1
PM10,Warsaw,1,1,30.2,14.2
PM10,Warsaw,1,1,26.4,35.6
PM10,Warsaw,1,1,27.3,11.2
PM10,Warsaw,1,1,14.1,14.2
PM10,Warsaw,1,1,18.8,14.2
PM10,Warsaw,1,1,38.1,20.7
PM10,Warsaw,1,1,11.4,12.7
PM10,Warsaw,1,1,9,14.7
PM10,Warsaw,1,1,17.4,20.7
PM10,Warsaw,1,1,18.7,14.7
PM10,Warsaw,1,1,26.7,47
PM10,Warsaw,1,1,13.5,27
PM10,Warsaw,1,1,25,20.7
PM10,Warsaw,1,1,35,39.9
PM10,Warsaw,1,1,48.4,22.4
PM10,Warsaw,1,1,32.8,22.4
PM10,Warsaw,1,1,33.3,22.4
PM10,Warsaw,1,1,14.1,16.2
PM10,Warsaw,1,1,10.6,14.7
PM10,Warsaw,1,1,24.3,20.7
PM10,Warsaw,1,1,13.2,20.7
PM10,Warsaw,1,1,21.5,18.15
PM10,Warsaw,1,1,14.2,17.8
PM10,Warsaw,1,1,11.6,22.4
PM10,Warsaw,1,1,15.4,17.7
PM10,Warsaw,1,1,20.8,19.2
PM10,Warsaw,1,1,19.2,20.7
PM10,Warsaw,1,1,19.4,21.9
PM10,Warsaw,1,1,18.8,22.4
PM10,Warsaw,1,1,14.6,7.4
PM10,Warsaw,1,1,23.4,20.7
PM10,Warsaw,1,1,14,47
PM10,Warsaw,1,1,26,19.9
PM10,Warsaw,1,1,34.4,27
PM10,Warsaw,1,1,34.5,11.6
PM10,Warsaw,1,1,26.8,7.4
PM10,Warsaw,1,1,55.4,22.4
PM10,Warsaw,1,1,93.8,14.2
PM10,Warsaw,1,1,77.7,39.5
PM10,Warsaw,1,1,66,36.2
PM10,Warsaw,1,1,47.7,53.7
PM10,Warsaw,1,1,50.8,49.3367
PM10,Warsaw,1,1,49.7,48.8467
PM10,Warsaw,1,1,31.3,50.8
PM10,Warsaw,1,1,19.3,15.5
PM10,Warsaw,1,1,38.7,14.2
PM10,Warsaw,1,1,34.2,19.2
PM10,Warsaw,1,1,35,47.6
PM10,Warsaw,1,1,15.1,22.2
PM10,Warsaw,1,1,22,19.3
PM10,Warsaw,1,1,31.3,23.4
PM10,Warsaw,1,1,30.4,13.9
PM10,Warsaw,1,1,20.3,23.4
PM10,Warsaw,1,1,13.8,25.4
PM10,Warsaw,1,1,21.8,35.6
PM10,Warsaw,1,1,18.4,14.2
PM10,Warsaw,1,1,15,7.4
PM10,Warsaw,1,1,17.5,22.4
PM10,Warsaw,1,1,18.3,39.7
PM10,Warsaw,1,1,26.2,9.2
PM10,Warsaw,1,1,41.3,32.1
PM10,Warsaw,1,1,45.5,13.9
PM10,Warsaw,1,1,49.6,59.9
PM10,Warsaw,1,1,44.3,38.6
PM10,Warsaw,1,1,42.4,43.4567
PM10,Warsaw,1,1,24.9,38.8
PM10,Warsaw,1,1,16.1,36.5
PM10,Warsaw,1,1,18,21.7
PM10,Warsaw,1,1,10.4,14.8
PM10,Warsaw,1,1,9.1,23.4
PM10,Warsaw,1,1,18.3,20.2
PM10,Warsaw,1,1,19.3,14.8
PM10,Warsaw,1,1,11.5,14.8
PM10,Warsaw,1,1,26.5,10
PM10,Warsaw,1,1,15.1,25.4
PM10,Warsaw,1,1,25.3,14.8
PM10,Warsaw,1,1,25.8,13.9
PM10,Warsaw,1,1,20.4,14.8
PM10,Warsaw,1,1,28.3,14.8
PM10,Warsaw,1,1,19.9,20.3
PM10,Warsaw,1,1,25.1,14.8
PM10,Warsaw,1,1,33,13.9
PM10,Warsaw,1,1,47.1,14.8
PM10,Warsaw,1,1,25.3,20.3
PM10,Warsaw,1,1,22.5,19.9
PM10,Warsaw,1,1,9,16.8
PM10,Warsaw,1,1,15.7,35.6
PM10,Warsaw,1,1,11.7,23.4
PM10,Warsaw,1,1,9.2,20.2
PM10,Warsaw,1,1,11.6,14.8
PM10,Warsaw,1,1,11.5,14.8
PM10,Warsaw,1,1,14.7,20.2
PM10,Warsaw,1,1,24.3,14.8
PM10,Warsaw,1,1,27.1,14.8
PM10,Warsaw,1,1,19.4,16.8
PM10,Warsaw,1,1,18.9,20.2
PM10,Warsaw,1,1,21.1,21.7
PM10,Warsaw,1,1,27.9,33.7
PM10,Warsaw,1,1,22.9,30.3
PM10,Warsaw,1,1,17.7,19.9
PM10,Warsaw,1,1,25.5,19.9
PM10,Warsaw,1,1,21.6,19.9
PM10,Warsaw,1,1,16.7,17.5
PM10,Warsaw,1,1,20.6,16.8
PM10,Warsaw,1,1,26.7,22
PM10,Warsaw,1,1,30.4,33.7
PM10,Warsaw,1,1,33.7,30.2
PM10,Warsaw,1,1,38.8,30.2
PM10,Warsaw,1,1,27.9,19.5
PM10,Warsaw,1,1,21,19
PM10,Warsaw,1,1,35.8,13.7
PM10,Warsaw,1,1,13.1,30.3
PM10,Warsaw,1,1,16.4,10
PM10,Warsaw,1,1,20.2,19.4
PM10,Warsaw,1,1,23.6,14.3
PM10,Warsaw,1,1,30.8,16.8
PM10,Warsaw,1,1,29.4,20.3
PM10,Warsaw,1,1,28.1,20.3
PM10,Warsaw,1,1,19.8,19
PM10,Warsaw,1,1,19.8,20.3
PM10,Warsaw,1,1,28.6,20.3
PM10,Warsaw,1,1,22,22
PM10,Warsaw,1,1,25.8,14
PM10,Warsaw,1,1,37.8,16.8
PM10,Warsaw,1,1,27.6,19
PM10,Warsaw,1,1,19.5,20.3
PM10,Warsaw,1,1,18.5,13.7
PM10,Warsaw,1,1,25.8,14
PM10,Warsaw,1,1,22.5,17.5
PM10,Warsaw,1,1,22.4,22
PM10,Warsaw,1,1,23.3,27.1
PM10,Warsaw,1,1,25.4,30.2
PM10,Warsaw,1,1,15.5,19.9
PM10,Warsaw,1,1,19.7,10
PM10,Warsaw,1,1,23.6,30.2
PM10,Warsaw,1,1,19.6,33.7
PM10,Warsaw,1,1,18.5,19
PM10,Warsaw,1,1,20.8,27.2
PM10,Warsaw,1,1,24.8,16.8
PM10,Warsaw,1,1,28.6,33.7
PM10,Warsaw,1,1,17.9,19.9
PM10,Warsaw,1,1,15.6,30.2
PM10,Warsaw,1,1,19.9,22
PM10,Warsaw,1,1,26.7,16.8
PM10,Warsaw,1,1,19.5,27.1
PM10,Warsaw,1,1,26.7,22
PM10,Warsaw,1,1,23.3,20.3
PM10,Warsaw,1,1,15,20.3
PM10,Warsaw,1,1,17.6,14
PM10,Warsaw,1,1,21.9,21.7
PM10,Warsaw,1,1,18.9,20.3
PM10,Warsaw,1,1,26,22
PM10,Warsaw,1,1,29.4,33.7
PM10,Warsaw,1,1,18.4,19
PM10,Warsaw,1,1,17.6,22
PM10,Warsaw,1,1,22.2,36
PM10,Warsaw,1,1,26.4,19.9
PM10,Warsaw,1,1,19.2,20.3
PM10,Warsaw,1,1,26,20.3
PM10,Warsaw,1,1,30,20.3
PM10,Warsaw,1,1,45.5,22
PM10,Warsaw,1,1,18.6,29.25
PM10,Warsaw,1,1,17.3,36
PM10,Warsaw,1,1,21,30.2
PM10,Warsaw,1,1,14.1,16.8
PM10,Warsaw,1,1,17.5,14
PM10,Warsaw,1,1,23.5,20.3
PM10,Warsaw,1,1,15.9,19
PM10,Warsaw,1,1,17.1,20.3
PM10,Warsaw,1,1,27.7,33.7
PM10,Warsaw,1,1,27,20.3
PM10,Warsaw,1,1,24.8,30.2
PM10,Warsaw,1,1,27.7,19.9
PM10,Warsaw,1,1,29.3,30.2
PM10,Warsaw,1,1,14.6,33.7
PM10,Warsaw,1,1,6.7,36
PM10,Warsaw,1,1,17.7,16.8
PM10,Warsaw,1,1,25.2,20.3
PM10,Warsaw,1,1,29.4,19.9
PM10,Warsaw,1,1,25.6,17.4
PM10,Warsaw,1,1,30.1,27.1
PM10,Warsaw,1,1,27.3,15.7
PM10,Warsaw,1,1,18,19.9
PM10,Warsaw,1,1,19.8,14.8
PM10,Warsaw,1,1,27.2,16.8
PM10,Warsaw,1,1,34.2,22
PM10,Warsaw,1,1,32.3,17.6
PM10,Warsaw,1,1,16.3,17.5
PM10,Warsaw,1,1,16.22,10
PM10,Warsaw,1,1,16.14,21.7
PM10,Warsaw,1,1,16.06,15.4
PM10,Warsaw,1,1,15.98,21.7
PM10,Warsaw,1,1,15.9,33.7
PM10,Warsaw,1,1,15.82,20.3
PM10,Warsaw,1,1,15.74,33.7
PM10,Warsaw,1,1,15.66,20.3
PM10,Warsaw,1,1,15.58,36
PM10,Warsaw,1,1,15.5,17.5
PM10,Warsaw,1,1,25.4,20.3
PM10,Warsaw,1,1,29.4,21.7
PM10,Warsaw,1,1,46.8,20.3
PM10,Warsaw,1,1,14.4,44.7
PM10,Warsaw,1,1,11.5,35.6
PM10,Warsaw,1,1,19.2,39.7
PM10,Warsaw,1,1,16.8,22.4
PM10,Warsaw,1,1,19.4,35.6
PM10,Warsaw,1,1,13.2,11.2
PM10,Warsaw,1,1,17.4,22.4
PM10,Warsaw,1,1,16.3,22.4
PM10,Warsaw,1,1,16.2,22.4
PM10,Warsaw,1,1,13.4,23.4
PM10,Warsaw,1,1,17.8,13.9
PM10,Warsaw,1,1,13.6,13.9
PM10,Warsaw,1,1,22,13.9
PM10,Warsaw,1,1,31.4,13.9
PM10,Warsaw,1,1,46.6,32.1
PM10,Warsaw,1,1,52.4,49.3
PM10,Warsaw,1,1,29.2,59.9
PM10,Warsaw,1,1,38.3,23.4
PM10,Warsaw,1,1,36.2,9.2
PM10,Warsaw,1,1,16.7,13.2
PM10,Warsaw,1,1,15.1,23.4
PM10,Warsaw,1,1,29.6,20.2
PM10,Warsaw,1,1,41.2,13.9
PM10,Warsaw,1,1,28.1,38.3
PM10,Warsaw,1,1,36.7,22.4
PM10,Warsaw,1,1,34.8,33.2
PM10,Warsaw,1,1,31,38.3
PM10,Warsaw,1,1,52.3,13.9
PM10,Warsaw,1,1,47.2,38.3
PM10,Warsaw,1,1,42.5,47.8
PM10,Warsaw,1,1,44.8,43.7833
PM10,Warsaw,1,1,52.9,38.8
PM10,Warsaw,1,1,51,53.7
PM10,Warsaw,1,1,35.6,28.5
PM10,Warsaw,1,1,32.4,31
PM10,Warsaw,1,1,10.2,31
PM10,Warsaw,1,1,22.6,18.5
PM10,Warsaw,1,1,27.1,22.4
PM10,Warsaw,1,1,34.7,17.5
PM10,Warsaw,1,1,48.2,22
PM10,Warsaw,1,1,78.5,47.8
PM10,Warsaw,1,1,31.3,34.7
PM10,Warsaw,1,1,25.1,37.6
PM10,Warsaw,1,1,27.6,25
PM10,Warsaw,1,1,37.7,22.4
PM10,Warsaw,1,1,43.4,17.5
PM10,Warsaw,1,1,63.9,30
PM10,Warsaw,1,1,39.5,39.5
PM10,Warsaw,1,1,31.4,47.2133
PM10,Warsaw,1,1,40.2,25.8
PM10,Warsaw,1,1,25.4,22.4
PM10,Warsaw,1,1,34.1,13.9
PM10,Warsaw,1,1,22,38.3
PM10,Warsaw,1,1,33.3,14.2
PM10,Warsaw,1,1,35,35.6
PM10,Warsaw,1,1,13.9,32.1
PM10,Warsaw,1,1,21.6,14.2
PM10,Warsaw,1,1,51.8,20.7
PM10,Warsaw,1,1,35.8,17.5
PM10,Warsaw,1,1,34.3,51
PM10,Warsaw,1,1,35,22.2
PM10,Warsaw,1,1,62.8,19.2
PM10,Warsaw,1,1,82.2,39.5
PM10,Warsaw,1,1,40.2,35.8
PM10,Warsaw,1,1,24.3,13.9
PM10,Warsaw,1,1,13.9,16.2
PM10,Warsaw,1,1,15,22.2
PM10,Warsaw,1,1,32.1,23.6
PM10,Warsaw,1,1,16.7,19.9
PM10,Warsaw,1,1,9.3,21.9
PM10,Warsaw,1,1,16.1,14.6
PM10,Warsaw,1,1,17.8,21.9
PM10,Warsaw,1,1,10.7,20.7
PM10,Warsaw,1,1,23.8,21.9
PM10,Warsaw,1,1,32.1,10.4
PM10,Warsaw,1,1,21.9,14.7
PM10,Warsaw,1,1,23.6,10.4
PM10,Warsaw,1,1,26.1,23.6
PM10,Warsaw,1,1,27.1,19.2
PM10,Warsaw,1,1,21.4,21.9
PM10,Warsaw,1,1,21.5,23.6
PM10,Warsaw,1,1,22.2,19.2
PM10,Warsaw,1,1,43,14.2
PM10,Warsaw,1,1,39.4,19.8
PM10,Warsaw,1,1,28.9,7.4
PM10,Warsaw,1,1,37.9,22.4
PM10,Warsaw,1,1,43.6,7.4
PM10,Warsaw,1,1,28.3,46.1
PM10,Warsaw,1,1,48.5,25.8
PM10,Warsaw,1,1,52,11.3
PM10,Warsaw,1,1,35.2,63.1
PM10,Warsaw,1,1,49.3,13.9
PM10,Warsaw,1,1,29.6,11.3
PM10,Warsaw,1,1,21.3,18.4
PM10,Warsaw,1,1,20.8,14.7
PM10,Warsaw,1,1,37.3,20.7
PM10,Warsaw,1,1,33.1,47
PM10,Warsaw,1,1,24.7,19.2
PM10,Warsaw,1,1,27.8,9.4
PM10,Warsaw,1,1,21.1,24.7
PM10,Warsaw,1,1,14.8,15.6
PM10,Warsaw,1,1,16.8,19.2
PM10,Warsaw,1,1,9.2,19.2
PM10,Warsaw,1,1,31.6,20.7
PM10,Warsaw,1,1,15.6,19.9
PM10,Warsaw,1,1,14.8,22.1
PM10,Warsaw,1,1,29.4,14.7
PM10,Warsaw,1,1,37.6,14.7
PM10,Warsaw,1,1,67.3,33.4
PM10,Warsaw,1,1,120.9,54.1
PM10,Warsaw,1,1,120.5,49.9
PM10,Warsaw,1,50,34.6,59.22
PM10,Warsaw,1,50,43.9,23.016
PM10,Warsaw,1,50,23.5,26.844
PM10,Warsaw,1,50,29.7,17.289
PM10,Warsaw,1,50,31.2,15.433
PM10,Warsaw,1,50,33.1,38.534
PM10,Warsaw,1,50,29.8,18.224
PM10,Warsaw,1,50,33.8,28.048
PM10,Warsaw,1,50,61.6,28.156
PM10,Warsaw,1,50,41.6,48.172
PM10,Warsaw,1,50,23.9,22.918
PM10,Warsaw,1,50,37.4,18.656
PM10,Warsaw,1,50,33.1,13.259
PM10,Warsaw,1,50,14.9,25.148
PM10,Warsaw,1,50,11.7,25.612
PM10,Warsaw,1,50,8.7,19.282
PM10,Warsaw,1,50,8.2,22.032
PM10,Warsaw,1,50,16,19.476
PM10,Warsaw,1,50,32.8,16.514
PM10,Warsaw,1,50,13.9,16.866
PM10,Warsaw,1,50,12.6,18.36
PM10,Warsaw,1,50,9.4,15.678
PM10,Warsaw,1,50,22.8,16.458
PM10,Warsaw,1,50,33.3,35.774
PM10,Warsaw,1,50,33.2,16.129
PM10,Warsaw,1,50,21.1,16.68
PM10,Warsaw,1,50,24,18.456
PM10,Warsaw,1,50,21.9,19.648
PM10,Warsaw,1,50,22.1,23.904
PM10,Warsaw,1,50,29.1,16.486
PM10,Warsaw,1,50,40.8,19.912
PM10,Warsaw,1,50,29.1,24.53
PM10,Warsaw,1,50,15.8,18.706
PM10,Warsaw,1,50,23.9,16.098
PM10,Warsaw,1,50,34.7,12.403
PM10,Warsaw,1,50,39.8,22.506
PM10,Warsaw,1,50,39.9,26.872
PM10,Warsaw,1,50,92.4,27.678
PM10,Warsaw,1,50,58.1,48.608
PM10,Warsaw,1,50,11.2,35.514
PM10,Warsaw,1,50,11,20.766
PM10,Warsaw,1,50,20.2,26.266
PM10,Warsaw,1,50,25,28.408
PM10,Warsaw,1,50,27.4,25.584
PM10,Warsaw,1,50,28.2,13.57
PM10,Warsaw,1,50,40.1,21.04
PM10,Warsaw,1,50,53.6,27.888
PM10,Warsaw,1,50,17.4,16.4832
PM10,Warsaw,1,50,18.7,12.738
PM10,Warsaw,1,50,30.2,15.02
PM10,Warsaw,1,50,26.4,26.174
PM10,Warsaw,1,50,27.3,17.823
PM10,Warsaw,1,50,14.1,17.5883
PM10,Warsaw,1,50,18.8,14.554
PM10,Warsaw,1,50,38.1,20.938
PM10,Warsaw,1,50,11.4,15.946
PM10,Warsaw,1,50,9,17.276
PM10,Warsaw,1,50,17.4,18.98
PM10,Warsaw,1,50,18.7,17.116
PM10,Warsaw,1,50,26.7,37.636
PM10,Warsaw,1,50,13.5,25.928
PM10,Warsaw,1,50,25,19.98
PM10,Warsaw,1,50,35,36.832
PM10,Warsaw,1,50,48.4,34.962
PM10,Warsaw,1,50,32.8,39.18
PM10,Warsaw,1,50,33.3,26.502
PM10,Warsaw,1,50,14.1,23.4845
PM10,Warsaw,1,50,10.6,15.442
PM10,Warsaw,1,50,24.3,18.232
PM10,Warsaw,1,50,13.2,18.824
PM10,Warsaw,1,50,21.5,17.1547
PM10,Warsaw,1,50,14.2,23.208
PM10,Warsaw,1,50,11.6,24.568
PM10,Warsaw,1,50,15.4,18.182
PM10,Warsaw,1,50,20.8,16.666
PM10,Warsaw,1,50,19.2,19
PM10,Warsaw,1,50,19.4,18.856
PM10,Warsaw,1,50,18.8,22.436
PM10,Warsaw,1,50,14.6,13.42
PM10,Warsaw,1,50,23.4,18.81
PM10,Warsaw,1,50,14,35.668
PM10,Warsaw,1,50,26,19.552
PM10,Warsaw,1,50,34.4,22.158
PM10,Warsaw,1,50,34.5,18.934
PM10,Warsaw,1,50,26.8,15.972
PM10,Warsaw,1,50,55.4,25.75
PM10,Warsaw,1,50,93.8,13.768
PM10,Warsaw,1,50,77.7,33.212
PM10,Warsaw,1,50,66,34.746
PM10,Warsaw,1,50,47.7,44.976
PM10,Warsaw,1,50,50.8,43.5218
PM10,Warsaw,1,50,49.7,43.5005
PM10,Warsaw,1,50,31.3,45.7907
PM10,Warsaw,1,50,19.3,19.5179
PM10,Warsaw,1,50,38.7,17.1543
PM10,Warsaw,1,50,34.2,19.708
PM10,Warsaw,1,50,35,40.194
PM10,Warsaw,1,50,15.1,26.782
PM10,Warsaw,1,50,22,21.772
PM10,Warsaw,1,50,31.3,24.896
PM10,Warsaw,1,50,30.4,19.934
PM10,Warsaw,1,50,20.3,23.302
PM10,Warsaw,1,50,13.8,28.312
PM10,Warsaw,1,50,21.8,26.46
PM10,Warsaw,1,50,18.4,14.264
PM10,Warsaw,1,50,15,15.66
PM10,Warsaw,1,50,17.5,23.084
PM10,Warsaw,1,50,18.3,33.502
PM10,Warsaw,1,50,26.2,21.172
PM10,Warsaw,1,50,41.3,30.372
PM10,Warsaw,1,50,45.5,28.11
PM10,Warsaw,1,50,49.6,41.008
PM10,Warsaw,1,50,44.3,40.392
PM10,Warsaw,1,50,42.4,45.3986
PM10,Warsaw,1,50,24.9,43.0542
PM10,Warsaw,1,50,16.1,37.4399
PM10,Warsaw,1,50,18,19.37
PM10,Warsaw,1,50,10.4,16.406
PM10,Warsaw,1,50,9.1,22.176
PM10,Warsaw,1,50,18.3,20.278
PM10,Warsaw,1,50,19.3,16.732
PM10,Warsaw,1,50,11.5,19.948
PM10,Warsaw,1,50,26.5,15.774
PM10,Warsaw,1,50,15.1,24.79
PM10,Warsaw,1,50,25.3,17.896
PM10,Warsaw,1,50,25.8,21.896
PM10,Warsaw,1,50,20.4,17.534
PM10,Warsaw,1,50,28.3,15.506
PM10,Warsaw,1,50,19.9,18.894
PM10,Warsaw,1,50,25.1,21.512
PM10,Warsaw,1,50,33,22.684
PM10,Warsaw,1,50,47.1,19.724
PM10,Warsaw,1,50,25.3,26.656
PM10,Warsaw,1,50,22.5,22.296
PM10,Warsaw,1,50,9,20.742
PM10,Warsaw,1,50,15.7,28.56
PM10,Warsaw,1,50,11.7,22.308
PM10,Warsaw,1,50,9.2,22.638
PM10,Warsaw,1,50,11.6,17.852
PM10,Warsaw,1,50,11.5,16.548
PM10,Warsaw,1,50,14.7,19.77
PM10,Warsaw,1,50,24.3,17.852
PM10,Warsaw,1,50,27.1,16.49
PM10,Warsaw,1,50,19.4,22.608
PM10,Warsaw,1,50,18.9,21.502
PM10,Warsaw,1,50,21.1,19.664
PM10,Warsaw,1,50,27.9,30.988
PM10,Warsaw,1,50,22.9,27.258
PM10,Warsaw,1,50,17.7,22.058
PM10,Warsaw,1,50,25.5,20.578
PM10,Warsaw,1,50,21.6,19.7469
PM10,Warsaw,1,50,16.7,20.07
PM10,Warsaw,1,50,20.6,21.34
PM10,Warsaw,1,50,26.7,21.334
PM10,Warsaw,1,50,30.4,32.278
PM10,Warsaw,1,50,33.7,31.58
PM10,Warsaw,1,50,38.8,32.35
PM10,Warsaw,1,50,27.9,19.39
PM10,Warsaw,1,50,21,17.19
PM10,Warsaw,1,50,35.8,16.876
PM10,Warsaw,1,50,13.1,30.962
PM10,Warsaw,1,50,16.4,14.096
PM10,Warsaw,1,50,20.2,24.266
PM10,Warsaw,1,50,23.6,18.918
PM10,Warsaw,1,50,30.8,21.294
PM10,Warsaw,1,50,29.4,21.4493
PM10,Warsaw,1,50,28.1,18.9001
PM10,Warsaw,1,50,19.8,17.294
PM10,Warsaw,1,50,19.8,17.384
PM10,Warsaw,1,50,28.6,21.23
PM10,Warsaw,1,50,22,22.73
PM10,Warsaw,1,50,25.8,17.114
PM10,Warsaw,1,50,37.8,21.078
PM10,Warsaw,1,50,27.6,18.274
PM10,Warsaw,1,50,19.5,20.995
PM10,Warsaw,1,50,18.5,18.66
PM10,Warsaw,1,50,25.8,16.66
PM10,Warsaw,1,50,22.5,20.696
PM10,Warsaw,1,50,22.4,21.296
PM10,Warsaw,1,50,23.3,23.028
PM10,Warsaw,1,50,25.4,30.906
PM10,Warsaw,1,50,15.5,20.7055
PM10,Warsaw,1,50,19.7,12.974
PM10,Warsaw,1,50,23.6,30.568
PM10,Warsaw,1,50,19.6,32.586
PM10,Warsaw,1,50,18.5,17.25
PM10,Warsaw,1,50,20.8,23.13
PM10,Warsaw,1,50,24.8,19.59
PM10,Warsaw,1,50,28.6,31.684
PM10,Warsaw,1,50,17.9,23.617
PM10,Warsaw,1,50,15.6,30.876
PM10,Warsaw,1,50,19.9,21.688
PM10,Warsaw,1,50,26.7,19.266
PM10,Warsaw,1,50,19.5,23.138
PM10,Warsaw,1,50,26.7,22.898
PM10,Warsaw,1,50,23.3,21.226
PM10,Warsaw,1,50,15,21.617
PM10,Warsaw,1,50,17.6,18.174
PM10,Warsaw,1,50,21.9,20.846
PM10,Warsaw,1,50,18.9,17.296
PM10,Warsaw,1,50,26,20.066
PM10,Warsaw,1,50,29.4,32.618
PM10,Warsaw,1,50,18.4,18.678
PM10,Warsaw,1,50,17.6,23.246
PM10,Warsaw,1,50,22.2,29.123
PM10,Warsaw,1,50,26.4,23.5969
PM10,Warsaw,1,50,19.2,21.0331
PM10,Warsaw,1,50,26,20.2911
PM10,Warsaw,1,50,30,20.1347
PM10,Warsaw,1,50,45.5,23.964
PM10,Warsaw,1,50,18.6,29.0642
PM10,Warsaw,1,50,17.3,25.5085
PM10,Warsaw,1,50,21,26.038
PM10,Warsaw,1,50,14.1,18.734
PM10,Warsaw,1,50,17.5,19.348
PM10,Warsaw,1,50,23.5,21.428
PM10,Warsaw,1,50,15.9,17.44
PM10,Warsaw,1,50,17.1,21.0331
PM10,Warsaw,1,50,27.7,30.506
PM10,Warsaw,1,50,27,21.0331
PM10,Warsaw,1,50,24.8,30.708
PM10,Warsaw,1,50,27.7,24.545
PM10,Warsaw,1,50,29.3,32.35
PM10,Warsaw,1,50,14.6,33.288
PM10,Warsaw,1,50,6.7,24.0045
PM10,Warsaw,1,50,17.7,21.234
PM10,Warsaw,1,50,25.2,20.301
PM10,Warsaw,1,50,29.4,20.1929
PM10,Warsaw,1,50,25.6,19.3185
PM10,Warsaw,1,50,30.1,23.336
PM10,Warsaw,1,50,27.3,19.276
PM10,Warsaw,1,50,18,22.294
