Pollutant,Site,Hour,NIsize,simTr,N,RMSE,MAE,MAPE,IA
PM10,Warsaw,1,45,0.010000,1,9.83302,7.17892,27.9734,0.875768
PM10,Warsaw,1,45,0.010000,5,8.92696,6.8175,26.9048,0.902598
PM10,Warsaw,1,45,0.010000,10,9.01958,6.80325,26.813,0.897939
PM10,Warsaw,1,45,0.010000,15,8.95793,6.71514,26.2123,0.895494
PM10,Warsaw,1,45,0.010000,20,8.54609,6.54891,26.0532,0.906582
PM10,Warsaw,1,45,0.010000,25,8.39392,6.4161,25.3333,0.908603
PM10,Warsaw,1,45,0.010000,30,8.53127,6.45222,25.4588,0.907894
PM10,Warsaw,1,45,0.010000,35,8.5167,6.46089,25.3718,0.908169
PM10,Warsaw,1,45,0.010000,40,8.71801,6.62692,26.0237,0.904363
PM10,Warsaw,1,45,0.010000,50,8.41922,6.42459,25.4011,0.911419
PM10,Warsaw,1,45,0.010000,60,8.70149,6.6228,26.0534,0.903143
PM10,Warsaw,1,45,0.010000,100,8.44101,6.42295,25.3302,0.910105
PM10,Warsaw,1,45,0.010000,120,8.36069,6.37286,25.0275,0.910887
PM10,Warsaw,1,45,0.013000,1,9.16,6.92568,27.6367,0.896098
PM10,Warsaw,1,45,0.013000,5,9.48749,7.15149,27.4792,0.889442
PM10,Warsaw,1,45,0.013000,10,8.07124,6.16526,24.5843,0.915004
PM10,Warsaw,1,45,0.013000,15,7.99324,6.10615,24.2642,0.919375
PM10,Warsaw,1,45,0.013000,20,8.09733,6.2194,24.7567,0.917695
PM10,Warsaw,1,45,0.013000,25,8.04548,6.19554,24.8153,0.917488
PM10,Warsaw,1,45,0.013000,30,8.04337,6.09466,23.8749,0.918442
PM10,Warsaw,1,45,0.013000,35,8.22986,6.29293,24.6655,0.91489
PM10,Warsaw,1,45,0.013000,40,8.4974,6.50588,25.6109,0.910699
PM10,Warsaw,1,45,0.013000,50,8.30641,6.37155,24.9587,0.913269
PM10,Warsaw,1,45,0.013000,60,8.39781,6.36474,24.8568,0.911479
PM10,Warsaw,1,45,0.013000,100,8.35762,6.41191,25.2058,0.912218
PM10,Warsaw,1,45,0.013000,120,8.22678,6.29916,24.812,0.913825
PM10,Warsaw,1,45,0.014000,1,9.34042,7.0987,27.9392,0.890799
PM10,Warsaw,1,45,0.014000,5,8.171,6.10796,23.9111,0.916494
PM10,Warsaw,1,45,0.014000,10,9.08924,6.78866,25.9124,0.899576
PM10,Warsaw,1,45,0.014000,15,8.28797,6.32932,24.8414,0.914576
PM10,Warsaw,1,45,0.014000,20,8.63239,6.5355,25.3916,0.907797
PM10,Warsaw,1,45,0.014000,25,8.79041,6.63791,25.7252,0.906409
PM10,Warsaw,1,45,0.014000,30,8.72992,6.62721,25.6261,0.906231
PM10,Warsaw,1,45,0.014000,35,8.23656,6.23687,24.3323,0.914437
PM10,Warsaw,1,45,0.014000,40,8.79857,6.66015,25.885,0.9053
PM10,Warsaw,1,45,0.014000,50,8.51634,6.53894,25.5489,0.911229
PM10,Warsaw,1,45,0.014000,60,8.68914,6.60626,25.7426,0.906647
PM10,Warsaw,1,45,0.014000,100,8.34821,6.34531,24.7046,0.913565
PM10,Warsaw,1,45,0.014000,120,8.2706,6.28132,24.4238,0.914265
PM10,Warsaw,1,45,0.015000,1,9.34237,6.93111,26.8573,0.889947
PM10,Warsaw,1,45,0.015000,5,9.14068,6.99767,27.0631,0.90186
PM10,Warsaw,1,45,0.015000,10,8.54273,6.43117,24.9916,0.91344
PM10,Warsaw,1,45,0.015000,15,9.0458,6.78531,26.4203,0.899461
PM10,Warsaw,1,45,0.015000,20,8.03226,6.07691,23.9332,0.917741
PM10,Warsaw,1,45,0.015000,25,8.90862,6.70535,25.8448,0.901451
PM10,Warsaw,1,45,0.015000,30,8.38242,6.35463,24.6069,0.911683
PM10,Warsaw,1,45,0.015000,35,8.13815,6.14374,24.1632,0.916169
PM10,Warsaw,1,45,0.015000,40,8.62359,6.46553,25.1412,0.907171
PM10,Warsaw,1,45,0.015000,50,8.57637,6.46621,25.0269,0.908715
