Pollutant,Site,Hour,NIsize,simTr,N,RMSE,MAE,MAPE,IA
PM10,Warsaw,1,10,0.010000,1,17.625,12.2335,41.5585,0.480663
PM10,Warsaw,1,10,0.010000,5,14.9415,11.5713,56.376,0.455577
PM10,Warsaw,1,10,0.010000,10,15.0211,10.0116,37.8819,0.397054
PM10,Warsaw,1,10,0.010000,15,14.277,9.68526,38.9493,0.366173
PM10,Warsaw,1,10,0.010000,20,14.9654,9.93744,37.4635,0.344806
PM10,Warsaw,1,10,0.010000,25,14.1665,10.5192,48.9874,0.3774
PM10,Warsaw,1,10,0.010000,30,14.2818,9.75217,39.6274,0.329281
PM10,Warsaw,1,10,0.010000,35,14.2004,9.78002,40.7738,0.318181
PM10,Warsaw,1,10,0.010000,40,14.147,10.2108,45.9624,0.332333
PM10,Warsaw,1,10,0.010000,50,14.2154,9.81443,41.1494,0.351368
PM10,Warsaw,1,10,0.020000,1,17.625,12.2335,41.5585,0.480663
PM10,Warsaw,1,10,0.020000,5,14.5909,10.8437,51.6411,0.420306
PM10,Warsaw,1,10,0.020000,10,14.555,10.3181,45.9157,0.25313
PM10,Warsaw,1,10,0.020000,15,15.3627,10.124,36.6776,0.400639
PM10,Warsaw,1,10,0.020000,20,13.9447,9.83163,42.5527,0.330961
PM10,Warsaw,1,10,0.020000,25,14.2771,10.1755,44.9716,0.330296
PM10,Warsaw,1,10,0.020000,30,14.4174,9.7403,39.0979,0.328727
PM10,Warsaw,1,10,0.020000,35,14.1331,9.90275,42.9472,0.318348
PM10,Warsaw,1,10,0.020000,40,14.3169,9.7351,39.8108,0.302218
PM10,Warsaw,1,10,0.020000,50,14.1929,10.1833,45.2463,0.329978
PM10,Warsaw,1,10,0.030000,1,17.625,12.2335,41.5585,0.480663
PM10,Warsaw,1,10,0.030000,5,16.4927,10.6357,34.0329,0.393569
PM10,Warsaw,1,10,0.030000,10,14.1845,10.2242,45.2036,0.370883
PM10,Warsaw,1,10,0.030000,15,14.5345,10.011,41.8371,0.356037
PM10,Warsaw,1,10,0.030000,20,14.5344,9.8478,40.0887,0.293746
PM10,Warsaw,1,10,0.030000,25,14.3883,9.83772,40.4482,0.325451
PM10,Warsaw,1,10,0.030000,30,14.3192,9.81136,40.3983,0.325682
PM10,Warsaw,1,10,0.030000,35,14.1918,9.8698,42.0166,0.310649
PM10,Warsaw,1,10,0.030000,40,14.1312,10.1957,45.6285,0.350262
PM10,Warsaw,1,10,0.030000,50,14.3112,9.76671,40.1421,0.324131
PM10,Warsaw,1,10,0.040000,1,17.625,12.2335,41.5585,0.480663
PM10,Warsaw,1,10,0.040000,5,14.451,9.83468,36.5063,0.452593
PM10,Warsaw,1,10,0.040000,10,14.5937,9.74825,38.215,0.327357
PM10,Warsaw,1,10,0.040000,15,14.3167,10.5973,48.9537,0.365747
PM10,Warsaw,1,10,0.040000,20,14.4181,10.2644,45.9283,0.339628
PM10,Warsaw,1,10,0.040000,25,14.6775,9.96823,40.3488,0.387872
PM10,Warsaw,1,10,0.040000,30,15.2686,10.0321,36.0148,0.387845
PM10,Warsaw,1,10,0.040000,35,14.1876,9.79554,40.9547,0.341968
PM10,Warsaw,1,10,0.040000,40,14.0662,10.0063,43.6135,0.343089
PM10,Warsaw,1,10,0.040000,50,14.2361,9.81737,41.2561,0.321967
PM10,Warsaw,1,10,0.050000,1,17.625,12.2335,41.5585,0.480663
PM10,Warsaw,1,10,0.050000,5,14.5521,9.83163,39.8544,0.295182
