Pollutant,Site,Hour,N,RealValue,PredValue
PM10,Warsaw,1,1,34.6,41.2
PM10,Warsaw,1,1,43.9,15.4
PM10,Warsaw,1,1,23.5,15.4
PM10,Warsaw,1,1,29.7,15.4
PM10,Warsaw,1,1,31.2,15.4
PM10,Warsaw,1,1,33.1,40.6
PM10,Warsaw,1,1,29.8,40.6
PM10,Warsaw,1,1,33.8,40.6
PM10,Warsaw,1,1,61.6,40.6
PM10,Warsaw,1,1,41.6,15.4
PM10,Warsaw,1,1,23.9,40.6
PM10,Warsaw,1,1,37.4,40.6
PM10,Warsaw,1,1,33.1,27
PM10,Warsaw,1,1,14.9,27
PM10,Warsaw,1,1,11.7,27
PM10,Warsaw,1,1,8.7,27
PM10,Warsaw,1,1,8.2,27
PM10,Warsaw,1,1,16,27
PM10,Warsaw,1,1,32.8,27
PM10,Warsaw,1,1,13.9,27
PM10,Warsaw,1,1,12.6,27
PM10,Warsaw,1,1,9.4,27
PM10,Warsaw,1,1,22.8,27
PM10,Warsaw,1,1,33.3,27
PM10,Warsaw,1,1,33.2,27
PM10,Warsaw,1,1,21.1,27
PM10,Warsaw,1,1,24,27
PM10,Warsaw,1,1,21.9,27
PM10,Warsaw,1,1,22.1,15.4
PM10,Warsaw,1,1,29.1,15.4
PM10,Warsaw,1,1,40.8,15.4
PM10,Warsaw,1,1,29.1,15.4
PM10,Warsaw,1,1,15.8,15.4
PM10,Warsaw,1,1,23.9,15.4
PM10,Warsaw,1,1,34.7,15.4
PM10,Warsaw,1,1,39.8,15.4
PM10,Warsaw,1,1,39.9,15.4
PM10,Warsaw,1,1,92.4,15.4
PM10,Warsaw,1,1,58.1,15.4
PM10,Warsaw,1,1,11.2,15.4
PM10,Warsaw,1,1,11,15.4
PM10,Warsaw,1,1,20.2,15.4
PM10,Warsaw,1,1,25,26.6
PM10,Warsaw,1,1,27.4,15.4
PM10,Warsaw,1,1,28.2,15.4
PM10,Warsaw,1,1,40.1,15.4
PM10,Warsaw,1,1,53.6,15.4
PM10,Warsaw,1,1,17.4,15.4
PM10,Warsaw,1,1,18.7,40.6
PM10,Warsaw,1,1,30.2,40.6
PM10,Warsaw,1,1,26.4,40.6
PM10,Warsaw,1,1,27.3,15.4
PM10,Warsaw,1,1,14.1,15.4
PM10,Warsaw,1,1,18.8,15.4
PM10,Warsaw,1,1,38.1,15.4
PM10,Warsaw,1,1,11.4,15.4
PM10,Warsaw,1,1,9,15.4
PM10,Warsaw,1,1,17.4,15.4
PM10,Warsaw,1,1,18.7,15.4
PM10,Warsaw,1,1,26.7,15.4
PM10,Warsaw,1,1,13.5,15.4
PM10,Warsaw,1,1,25,15.4
PM10,Warsaw,1,1,35,15.4
PM10,Warsaw,1,1,48.4,15.4
PM10,Warsaw,1,1,32.8,15.4
PM10,Warsaw,1,1,33.3,15.4
PM10,Warsaw,1,1,14.1,15.4
PM10,Warsaw,1,1,10.6,15.4
PM10,Warsaw,1,1,24.3,15.4
PM10,Warsaw,1,1,13.2,15.4
PM10,Warsaw,1,1,21.5,15.4
PM10,Warsaw,1,1,14.2,40.6
PM10,Warsaw,1,1,11.6,15.4
PM10,Warsaw,1,1,15.4,15.4
PM10,Warsaw,1,1,20.8,27
PM10,Warsaw,1,1,19.2,15.4
PM10,Warsaw,1,1,19.4,15.4
PM10,Warsaw,1,1,18.8,15.4
