Pollutant,Site,Hour,NIsize,simTr,N,RMSE,MAE,MAPE,IA
PM10,Warsaw,1,50,0.000000,1,9.87822,7.05986,29.3575,0.882393
PM10,Warsaw,1,50,0.000000,5,8.29662,6.05965,26.1123,0.914534
PM10,Warsaw,1,50,0.000000,10,8.05138,5.84401,24.663,0.919665
PM10,Warsaw,1,50,0.000000,15,8.01353,5.80119,24.7247,0.919388
PM10,Warsaw,1,50,0.000000,20,7.95113,5.79276,24.8158,0.920442
PM10,Warsaw,1,50,0.000000,25,7.81948,5.71162,24.7332,0.924266
PM10,Warsaw,1,50,0.000000,30,7.90411,5.75777,24.5825,0.920654
PM10,Warsaw,1,50,0.000000,35,7.83072,5.6914,24.3482,0.923089
PM10,Warsaw,1,50,0.000000,40,8.0066,5.85043,24.8964,0.921269
PM10,Warsaw,1,50,0.000000,50,7.86657,5.7397,24.5734,0.92288
PM10,Warsaw,1,50,0.000000,55,7.8537,5.72728,24.4819,0.922862
PM10,Warsaw,1,50,0.000000,60,7.89227,5.73796,24.5847,0.922472
PM10,Warsaw,1,50,0.010000,1,9.87482,7.2476,29.6812,0.876371
PM10,Warsaw,1,50,0.010000,5,8.11817,5.97723,25.5292,0.918101
PM10,Warsaw,1,50,0.010000,10,8.4236,6.18148,25.6253,0.909451
PM10,Warsaw,1,50,0.010000,15,8.13639,6.07867,25.194,0.916032
PM10,Warsaw,1,50,0.010000,20,8.13909,5.9092,24.9817,0.912462
PM10,Warsaw,1,50,0.010000,25,8.23562,5.97792,24.5908,0.913913
PM10,Warsaw,1,50,0.010000,30,8.15821,5.98214,24.9018,0.914756
PM10,Warsaw,1,50,0.010000,35,8.08356,5.98848,25.0775,0.91635
PM10,Warsaw,1,50,0.010000,40,8.30323,5.9982,25.1387,0.91113
PM10,Warsaw,1,50,0.010000,50,8.08605,5.98015,25.2461,0.915213
PM10,Warsaw,1,50,0.010000,55,8.09585,5.89443,24.5417,0.914808
PM10,Warsaw,1,50,0.010000,60,7.98205,5.87571,24.6257,0.917645
PM10,Warsaw,1,50,0.020000,1,9.12396,6.48725,27.4987,0.904163
PM10,Warsaw,1,50,0.020000,5,8.78561,6.33379,25.6495,0.900976
PM10,Warsaw,1,50,0.020000,10,7.65645,5.52083,23.3669,0.926782
PM10,Warsaw,1,50,0.020000,15,7.68698,5.42727,22.9486,0.925603
PM10,Warsaw,1,50,0.020000,20,7.78018,5.55679,23.7166,0.923857
PM10,Warsaw,1,50,0.020000,25,7.55196,5.43537,23.1093,0.928799
PM10,Warsaw,1,50,0.020000,30,7.77184,5.58033,23.1028,0.921577
PM10,Warsaw,1,50,0.020000,35,7.61383,5.46373,22.8885,0.926599
PM10,Warsaw,1,50,0.020000,40,7.63912,5.56594,23.3346,0.926596
PM10,Warsaw,1,50,0.020000,50,7.67622,5.58721,23.8549,0.926335
PM10,Warsaw,1,50,0.020000,55,7.41077,5.36327,23.1072,0.930016
PM10,Warsaw,1,50,0.020000,60,7.6525,5.54749,23.2762,0.927243
PM10,Warsaw,1,50,0.030000,1,9.55534,6.75414,27.5541,0.90426
PM10,Warsaw,1,50,0.030000,5,7.5322,5.49981,23.0567,0.930986
PM10,Warsaw,1,50,0.030000,10,7.44886,5.32908,22.0224,0.932061
PM10,Warsaw,1,50,0.030000,15,7.66308,5.35075,21.9749,0.92954
PM10,Warsaw,1,50,0.030000,20,7.76778,5.48271,22.4389,0.928166
PM10,Warsaw,1,50,0.030000,25,7.67926,5.45462,22.1383,0.930047
PM10,Warsaw,1,50,0.030000,30,7.57842,5.371,22.1955,0.930748
PM10,Warsaw,1,50,0.030000,35,7.62847,5.43861,22.4584,0.929803
PM10,Warsaw,1,50,0.030000,40,7.478,5.25076,21.6621,0.932028
PM10,Warsaw,1,50,0.030000,50,7.60283,5.36256,22.1014,0.929775
PM10,Warsaw,1,50,0.030000,55,7.45649,5.34539,21.8794,0.933456
PM10,Warsaw,1,50,0.030000,60,7.49133,5.27502,21.713,0.93268
PM10,Warsaw,1,50,0.040000,1,8.10776,5.5137,23.1453,0.917925
PM10,Warsaw,1,50,0.040000,5,7.21345,5.20861,21.4392,0.937312
PM10,Warsaw,1,50,0.040000,10,7.12334,5.21298,21.3626,0.937732
PM10,Warsaw,1,50,0.040000,15,7.39054,5.20623,21.4888,0.930338
PM10,Warsaw,1,50,0.040000,20,7.46252,5.20977,21.4752,0.929543
PM10,Warsaw,1,50,0.040000,25,7.32975,5.23672,21.5934,0.933034
PM10,Warsaw,1,50,0.040000,30,7.3055,5.23477,21.5286,0.932984
PM10,Warsaw,1,50,0.040000,35,7.3507,5.22682,21.3823,0.931206
PM10,Warsaw,1,50,0.040000,40,7.35375,5.24111,21.6751,0.932867
PM10,Warsaw,1,50,0.040000,50,7.27797,5.20481,21.3636,0.933343
PM10,Warsaw,1,50,0.040000,55,7.39686,5.22227,21.4189,0.932041
PM10,Warsaw,1,50,0.040000,60,7.36775,5.23164,21.57,0.932286
PM10,Warsaw,1,50,0.050000,1,8.08177,5.53025,22.9518,0.913855
PM10,Warsaw,1,50,0.050000,5,7.41029,5.34119,22.1767,0.932982
PM10,Warsaw,1,50,0.050000,10,7.19135,5.17099,21.4941,0.934829
PM10,Warsaw,1,50,0.050000,15,7.21703,5.21075,21.7546,0.93178
PM10,Warsaw,1,50,0.050000,20,7.36294,5.22833,21.7858,0.930456
PM10,Warsaw,1,50,0.050000,25,7.25777,5.18031,21.5285,0.931641
PM10,Warsaw,1,50,0.050000,30,7.24571,5.20684,21.5805,0.931374
PM10,Warsaw,1,50,0.050000,35,7.06005,5.10586,21.2416,0.934755
PM10,Warsaw,1,50,0.050000,40,7.2164,5.15688,21.3722,0.931909
PM10,Warsaw,1,50,0.050000,50,7.26599,5.20364,21.7447,0.932443
PM10,Warsaw,1,50,0.050000,55,7.15856,5.2038,21.5541,0.932768
PM10,Warsaw,1,50,0.050000,60,7.15829,5.14104,21.3013,0.934059
PM10,Warsaw,1,50,0.060000,1,8.20271,5.82272,24.2111,0.918491
PM10,Warsaw,1,50,0.060000,5,7.24321,5.22901,21.4516,0.928078
PM10,Warsaw,1,50,0.060000,10,7.12798,5.1471,21.404,0.93133
PM10,Warsaw,1,50,0.060000,15,7.0208,5.12567,21.2036,0.932146
PM10,Warsaw,1,50,0.060000,20,7.2467,5.21647,21.4792,0.928179
PM10,Warsaw,1,50,0.060000,25,7.16381,5.19582,21.427,0.930807
PM10,Warsaw,1,50,0.060000,30,7.0683,5.13588,21.3272,0.930754
PM10,Warsaw,1,50,0.060000,35,7.10025,5.17361,21.3625,0.932456
PM10,Warsaw,1,50,0.060000,40,7.03145,5.12614,21.4225,0.932518
PM10,Warsaw,1,50,0.060000,50,7.07515,5.14442,21.3332,0.931761
PM10,Warsaw,1,50,0.060000,55,7.01662,5.11611,21.2842,0.933404
PM10,Warsaw,1,50,0.060000,60,7.11476,5.1804,21.4956,0.931062
PM10,Warsaw,1,50,0.070000,1,7.91382,5.51295,23.0153,0.921559
PM10,Warsaw,1,50,0.070000,5,6.82435,5.00049,20.6972,0.936395
