Pollutant,Site,Hour,N,RealValue,PredValue
PM10,Warsaw,1,1,14.7,41.2
PM10,Warsaw,1,1,40.1,41.2
PM10,Warsaw,1,1,70.5,22.9
PM10,Warsaw,1,1,40.4,22.9
PM10,Warsaw,1,1,31.6,46.7
PM10,Warsaw,1,1,34.9,46.7
PM10,Warsaw,1,1,182.8,91.1
PM10,Warsaw,1,1,110.5,180.967
PM10,Warsaw,1,1,146.6,22.9
PM10,Warsaw,1,1,26.5,16.625
PM10,Warsaw,1,1,84.1,16.625
PM10,Warsaw,1,1,25.2,13.825
PM10,Warsaw,1,1,64.3,13.825
PM10,Warsaw,1,1,59.1,66.8
PM10,Warsaw,1,1,42,25.625
PM10,Warsaw,1,1,16.9,11
PM10,Warsaw,1,1,22.5,77.2
PM10,Warsaw,1,1,20.4,47.9
PM10,Warsaw,1,1,25.5,41.2
PM10,Warsaw,1,1,42.7,47.9
PM10,Warsaw,1,1,55.6,27.1
PM10,Warsaw,1,1,34.7,57
PM10,Warsaw,1,1,22.6,66.8
PM10,Warsaw,1,1,30.9,41.2
PM10,Warsaw,1,1,39.3,41.2
PM10,Warsaw,1,1,42.4,66.8
PM10,Warsaw,1,1,24,11
PM10,Warsaw,1,1,55.2,57
PM10,Warsaw,1,1,60.5,57
PM10,Warsaw,1,1,21,15.2
PM10,Warsaw,1,1,24.2,15.2
PM10,Warsaw,1,1,45.5,13.825
PM10,Warsaw,1,1,21.2,15.5667
PM10,Warsaw,1,1,19,15.2
PM10,Warsaw,1,1,30.9,17.06
PM10,Warsaw,1,1,31.8,21.05
PM10,Warsaw,1,1,39,34.7
PM10,Warsaw,1,1,41,44.6
PM10,Warsaw,1,1,18.8,21.05
PM10,Warsaw,1,1,31.7,44.6
PM10,Warsaw,1,1,47.7,44.6
PM10,Warsaw,1,1,27.9,21.05
PM10,Warsaw,1,1,24.3,21.05
PM10,Warsaw,1,1,29.7,22.7
PM10,Warsaw,1,1,25.7,21.05
PM10,Warsaw,1,1,11.6,21.05
PM10,Warsaw,1,1,23.4,15.2
PM10,Warsaw,1,1,15.3,21.05
PM10,Warsaw,1,1,24.1,21.05
PM10,Warsaw,1,1,27.1,22.7
PM10,Warsaw,1,1,44.9,17.1
PM10,Warsaw,1,1,35.6,22.7
PM10,Warsaw,1,1,22.3,22.0714
PM10,Warsaw,1,1,26.9,22.0714
PM10,Warsaw,1,1,19.7,22.7
PM10,Warsaw,1,1,19,22.0714
PM10,Warsaw,1,1,32,22.0714
PM10,Warsaw,1,1,35.4,33.8
PM10,Warsaw,1,1,25.7,33.8
PM10,Warsaw,1,1,19.1,22.0714
PM10,Warsaw,1,1,13.7,22.7
PM10,Warsaw,1,1,17.9,22.0714
PM10,Warsaw,1,1,43.4,22.0714
PM10,Warsaw,1,1,34,33.8
PM10,Warsaw,1,1,22,22.0714
PM10,Warsaw,1,1,17.6,22.7
PM10,Warsaw,1,1,26.1,22.0714
PM10,Warsaw,1,1,30.1,22.7
PM10,Warsaw,1,1,24.6,22.7
PM10,Warsaw,1,1,18.3,22.7
PM10,Warsaw,1,1,21.1,22.7
PM10,Warsaw,1,1,31,22.7
PM10,Warsaw,1,1,21.5,22.7
PM10,Warsaw,1,1,28.1,21.05
PM10,Warsaw,1,1,27,22.0714
PM10,Warsaw,1,1,25.8,22.7
PM10,Warsaw,1,1,27.1,21.05
