Pollutant,Site,Hour,NIsize,simTr,N,RMSE,MAE,MAPE,IA
PM10,Warsaw,1,50,0.000000,1,21.1952,12.4242,40.8395,0.67338
PM10,Warsaw,1,50,0.000000,5,18.843,11.0083,36.18,0.730751
PM10,Warsaw,1,50,0.000000,10,18.6787,10.8609,35.7458,0.739039
PM10,Warsaw,1,50,0.000000,15,17.9522,10.5849,34.7491,0.751633
PM10,Warsaw,1,50,0.000000,20,17.6381,10.5265,34.7388,0.759851
PM10,Warsaw,1,50,0.000000,25,17.3863,10.5418,34.7838,0.761515
PM10,Warsaw,1,50,0.000000,30,17.3377,10.5885,34.7019,0.757344
PM10,Warsaw,1,50,0.000000,35,17.3058,10.5205,34.5981,0.757059
PM10,Warsaw,1,50,0.000000,40,17.5982,10.6081,34.9078,0.754472
PM10,Warsaw,1,50,0.000000,45,17.2638,10.5164,34.6653,0.758361
PM10,Warsaw,1,50,0.000000,50,17.7647,10.5615,34.6859,0.751854
PM10,Warsaw,1,50,0.000000,55,16.7739,10.4533,34.5162,0.772442
PM10,Warsaw,1,50,0.000000,60,16.7061,10.4047,34.3992,0.76977
PM10,Warsaw,1,50,0.010000,1,19.4249,12.0363,40.7035,0.696829
PM10,Warsaw,1,50,0.010000,5,16.8941,10.4618,36.4837,0.757455
PM10,Warsaw,1,50,0.010000,10,17.6386,10.3534,35.6608,0.736916
PM10,Warsaw,1,50,0.010000,15,16.9798,10.1896,35.3432,0.760445
PM10,Warsaw,1,50,0.010000,20,16.5757,10.0316,34.8269,0.767637
PM10,Warsaw,1,50,0.010000,25,15.6899,9.90311,34.7068,0.782664
PM10,Warsaw,1,50,0.010000,30,15.7845,9.95062,34.7049,0.778701
PM10,Warsaw,1,50,0.010000,35,16.9258,10.1137,35.0506,0.763431
PM10,Warsaw,1,50,0.010000,40,16.0442,9.94671,34.6002,0.780144
PM10,Warsaw,1,50,0.010000,45,16.6794,10.0847,34.7954,0.756604
PM10,Warsaw,1,50,0.010000,50,16.3636,9.95656,34.6072,0.775212
PM10,Warsaw,1,50,0.010000,55,16.7497,10.0568,34.7676,0.766846
PM10,Warsaw,1,50,0.010000,60,16.1422,9.90121,34.4256,0.776177
PM10,Warsaw,1,50,0.020000,1,21.7786,12.9893,44.5773,0.666129
PM10,Warsaw,1,50,0.020000,5,16.1134,10.1533,35.8816,0.771789
PM10,Warsaw,1,50,0.020000,10,15.4114,9.94673,35.0126,0.78821
PM10,Warsaw,1,50,0.020000,15,15.0496,9.83699,35.6004,0.797463
PM10,Warsaw,1,50,0.020000,20,14.6371,9.78019,35.3776,0.797675
PM10,Warsaw,1,50,0.020000,25,14.5634,9.71134,34.3289,0.811342
PM10,Warsaw,1,50,0.020000,30,14.6147,9.67993,34.6559,0.804615
PM10,Warsaw,1,50,0.020000,35,14.6437,9.60988,34.2834,0.802766
PM10,Warsaw,1,50,0.020000,40,14.4332,9.62044,34.8981,0.809932
PM10,Warsaw,1,50,0.020000,45,14.5561,9.59844,34.6843,0.808059
PM10,Warsaw,1,50,0.020000,50,14.5664,9.61669,34.3428,0.801691
PM10,Warsaw,1,50,0.020000,55,14.6498,9.57541,34.2404,0.804683
PM10,Warsaw,1,50,0.020000,60,14.6027,9.66144,34.7167,0.801045
PM10,Warsaw,1,50,0.030000,1,20.129,13.8273,50.0046,0.706861
PM10,Warsaw,1,50,0.030000,5,15.3155,10.5527,37.4076,0.755009
PM10,Warsaw,1,50,0.030000,10,14.5491,10.2728,37.2838,0.779408
PM10,Warsaw,1,50,0.030000,15,14.5636,9.97274,36.5853,0.788113
PM10,Warsaw,1,50,0.030000,20,14.0668,9.84097,36.7857,0.788183
PM10,Warsaw,1,50,0.030000,25,14.3247,9.97456,37.0283,0.789306
PM10,Warsaw,1,50,0.030000,30,14.032,9.9189,36.912,0.796863
PM10,Warsaw,1,50,0.030000,35,13.9985,9.82769,35.8038,0.798824
PM10,Warsaw,1,50,0.030000,40,14.3465,9.96005,36.2328,0.786127
PM10,Warsaw,1,50,0.030000,45,13.8727,9.78874,35.8499,0.80046
PM10,Warsaw,1,50,0.030000,50,13.8079,9.82113,35.8233,0.797855
PM10,Warsaw,1,50,0.030000,55,13.8739,9.78289,35.8222,0.792003
PM10,Warsaw,1,50,0.030000,60,13.9209,9.75267,35.5306,0.793714
PM10,Warsaw,1,50,0.040000,1,22.502,15.3555,56.4003,0.598679
PM10,Warsaw,1,50,0.040000,5,16.5025,10.9721,39.443,0.736669
PM10,Warsaw,1,50,0.040000,10,14.9674,10.0607,37.874,0.769102
PM10,Warsaw,1,50,0.040000,15,14.834,10.441,39.1122,0.770778
PM10,Warsaw,1,50,0.040000,20,14.5219,10.1808,39.3133,0.781985
PM10,Warsaw,1,50,0.040000,25,13.7063,9.71042,36.7365,0.791339
PM10,Warsaw,1,50,0.040000,30,14.3111,9.95775,37.0195,0.784848
PM10,Warsaw,1,50,0.040000,35,14.2099,9.91062,37.6498,0.792482
PM10,Warsaw,1,50,0.040000,40,13.8994,9.81206,37.2285,0.795896
PM10,Warsaw,1,50,0.040000,45,13.858,9.77272,37.0676,0.804484
PM10,Warsaw,1,50,0.040000,50,14.1548,10.0037,38.4343,0.797065
PM10,Warsaw,1,50,0.040000,55,13.6214,9.70782,37.4741,0.805442
PM10,Warsaw,1,50,0.040000,60,14.0637,10.0098,37.3921,0.7952
PM10,Warsaw,1,50,0.050000,1,19.9415,13.5725,49.1224,0.694744
PM10,Warsaw,1,50,0.050000,5,16.3457,10.8767,42.6665,0.783455
PM10,Warsaw,1,50,0.050000,10,14.9887,10.5496,40.5473,0.789591
PM10,Warsaw,1,50,0.050000,15,14.5189,10.1241,40.5842,0.79468
PM10,Warsaw,1,50,0.050000,20,14.7767,10.1509,40.2627,0.800403
PM10,Warsaw,1,50,0.050000,25,14.7649,10.1513,39.9569,0.80038
PM10,Warsaw,1,50,0.050000,30,14.7023,10.1723,39.7798,0.799049
PM10,Warsaw,1,50,0.050000,35,14.3866,10.0855,39.3369,0.808182
PM10,Warsaw,1,50,0.050000,40,14.3514,9.95024,39.2632,0.810212
PM10,Warsaw,1,50,0.050000,45,14.1282,9.99652,39.0806,0.815114
PM10,Warsaw,1,50,0.050000,50,14.6179,10.1131,40.1719,0.803704
PM10,Warsaw,1,50,0.050000,55,14.3469,10.0729,40.1635,0.806237
PM10,Warsaw,1,50,0.050000,60,14.0321,9.90402,39.6723,0.815037
PM10,Warsaw,1,50,0.060000,1,20.4136,13.1338,54.1378,0.727166
PM10,Warsaw,1,50,0.060000,5,15.9066,10.6734,42.365,0.778069
PM10,Warsaw,1,50,0.060000,10,15.282,10.4924,42.8107,0.781833
PM10,Warsaw,1,50,0.060000,15,15.2354,10.3245,40.5473,0.790568
PM10,Warsaw,1,50,0.060000,20,14.7088,10.1418,40.782,0.798493
PM10,Warsaw,1,50,0.060000,25,14.3473,10.1252,40.6026,0.796931
PM10,Warsaw,1,50,0.060000,30,14.4434,10.0626,40.9526,0.807296
PM10,Warsaw,1,50,0.060000,35,14.5179,10.1886,41.0266,0.799716
PM10,Warsaw,1,50,0.060000,40,14.7215,10.1907,40.7642,0.798464
